effective_date,year,review_type,granularity,customer_category,band,measure,value,unit,pct_change,source_type,source,notes
2019-07-01,2019,Major (increase),blended_average,Residential,all bands (blended),GHp/kWh,65.4267,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+11.17%; matches (with minor rounding difference) the 65.4161/89.0422 'old tariff' baseline used in the Sep 2022 major review press release.
2019-07-01,2019,Major (increase),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,125.4669,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+11.17%; matches (with minor rounding difference) the 65.4161/89.0422 'old tariff' baseline used in the Sep 2022 major review press release.
2019-10-01,2019,AAF (increase),blended_average,Non-Residential,all bands (blended),GHp/kWh,94.6187,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","+5.94%; SLT hits its 2010-2020 peak here (132.9184), after the Jul 2019 policy shift folding SLT maximum-demand charges into the energy charge."
2019-10-01,2019,AAF (increase),blended_average,Residential,all bands (blended),GHp/kWh,69.3125,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","+5.94%; SLT hits its 2010-2020 peak here (132.9184), after the Jul 2019 policy shift folding SLT maximum-demand charges into the energy charge."
2019-10-01,2019,AAF (increase),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,132.9184,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","+5.94%; SLT hits its 2010-2020 peak here (132.9184), after the Jul 2019 policy shift folding SLT maximum-demand charges into the energy charge."
2020-01-01,2020,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,94.6187,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",2020 election year; no change across 3 reviews (Jan/Apr/Jul) -- also the government subsidised tariffs up to 50% (and fully for Lifeline) as COVID-19 relief.
2020-01-01,2020,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,69.3125,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",2020 election year; no change across 3 reviews (Jan/Apr/Jul) -- also the government subsidised tariffs up to 50% (and fully for Lifeline) as COVID-19 relief.
2020-01-01,2020,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,132.9184,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",2020 election year; no change across 3 reviews (Jan/Apr/Jul) -- also the government subsidised tariffs up to 50% (and fully for Lifeline) as COVID-19 relief.
2020-04-01,2020,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,94.6187,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2020-04-01,2020,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,69.3125,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2020-04-01,2020,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,132.9184,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2020-07-01,2020,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,94.6187,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2020-07-01,2020,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,69.3125,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2020-07-01,2020,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,132.9184,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2021-01-01,2021,No change,narrative,ALL/UNSPECIFIED,,narrative,,,,narrative_only,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","No tariff changes approved during 2021 (2021 was not an election year, but macro conditions and continued COVID relief kept tariffs flat)."
2022-09-01,2022,Major (2022-2025 review),per_band_exact,Non-Residential (SME etc.),0-300,GHp/kWh,83.7841,GHp/kWh,27.15,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,Non-Residential (SME etc.),301-600,GHp/kWh,89.1552,GHp/kWh,27.15,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,Non-Residential (SME etc.),601+,GHp/kWh,133.0919,GHp/kWh,27.15,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,Non-Residential (SME etc.),0-300,Service Charge,1242.8245,GHp/month,,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,Residential,0-300,GHp/kWh,89.0422,GHp/kWh,27.15,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,Residential,301-600,GHp/kWh,115.5595,GHp/kWh,27.15,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,Residential,601+,GHp/kWh,128.3995,GHp/kWh,27.15,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,Residential,0-300,Service Charge,1073.09,GHp/month,,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,Residential Lifeline,0-30 (exclusive),GHp/kWh,41.9065,GHp/kWh,27.15,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,Residential Lifeline,0-30 (exclusive),Service Charge,213.0,GHp/month,,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,SLT-HV,energy charge,GHp/kWh,105.6746,GHp/kWh,27.15,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,SLT-HV,energy charge,Service Charge,50000.0,GHp/month,,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,SLT-HV Mines,energy charge,GHp/kWh,263.9705,GHp/kWh,27.15,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,SLT-HV Mines,energy charge,Service Charge,50000.0,GHp/month,,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,SLT-HV Steel Companies,energy charge,GHp/kWh,74.5315,GHp/kWh,27.15,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,SLT-HV Steel Companies,energy charge,Service Charge,50000.0,GHp/month,,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,SLT-LV,energy charge,GHp/kWh,132.6125,GHp/kWh,27.15,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,SLT-LV,energy charge,Service Charge,50000.0,GHp/month,,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,SLT-MV,energy charge,GHp/kWh,100.6863,GHp/kWh,27.15,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2022-09-01,2022,Major (2022-2025 review),per_band_exact,SLT-MV,energy charge,Service Charge,50000.0,GHp/month,,exact_gazette,"PURC Press Release, '2022-2025 Multi-Year Major Tariff Review' (1 Sep 2022) https://www.purc.com.gh/attachment/459725-20220816110856.pdf",+27.15% average end-user electricity tariff (approved after ECG/NEDCo proposed 148%/113%; old-tariff baseline shown is the last unchanged Jul 2019 rate). Structure at this point: Residential 0-300 / 301-600 / 601+ (in addition to Lifeline).
2023-02-01,2023,Quarterly (AAF),per_band_exact,Non-Residential,0-300,GHp/kWh,108.8876,GHp/kWh,29.96,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,Non-Residential,301-600,GHp/kWh,115.8681,GHp/kWh,29.96,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,Non-Residential,600+,GHp/kWh,172.9692,GHp/kWh,29.96,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,Non-Residential,0-300,Service Charge,1242.8245,GHp/month,,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,Residential,51-300,GHp/kWh,115.7212,GHp/kWh,29.96,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,Residential,301-600,GHp/kWh,150.1837,GHp/kWh,29.96,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,Residential,600+,GHp/kWh,166.8708,GHp/kWh,29.96,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,Residential,51-300,Service Charge,1073.0886,GHp/month,,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,Residential Lifeline,0-30 (exclusive),GHp/kWh,54.4627,GHp/kWh,29.96,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,Residential Lifeline,0-30 (exclusive),Service Charge,213.0,GHp/month,,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,SLT-HV,energy charge,GHp/kWh,137.337,GHp/kWh,29.96,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,SLT-HV,energy charge,Service Charge,50000.0,GHp/month,,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,SLT-HV Mines,energy charge,GHp/kWh,343.0618,GHp/kWh,29.96,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,SLT-HV Mines,energy charge,Service Charge,50000.0,GHp/month,,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,SLT-HV Steel Companies,energy charge,GHp/kWh,96.8627,GHp/kWh,29.96,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,SLT-HV Steel Companies,energy charge,Service Charge,50000.0,GHp/month,,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,SLT-LV,energy charge,GHp/kWh,172.3461,GHp/kWh,29.96,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,SLT-LV,energy charge,Service Charge,50000.0,GHp/month,,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,SLT-MV,energy charge,GHp/kWh,130.8541,GHp/kWh,29.96,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-02-01,2023,Quarterly (AAF),per_band_exact,SLT-MV,energy charge,Service Charge,50000.0,GHp/month,,exact_gazette,"PURC Gazette, 'Publication of Electricity Tariffs' effective 1 Feb 2023 https://www.purc.com.gh/attachment/705636-20230124100135.pdf","+29.96% across-the-board increase, driven by a 40.25% Cedi depreciation vs the 2022-2025 MYTO baseline exchange rate and a jump in inflation to 42.63%. Structure: Lifeline / 51-300 / 301-600 / 600+."
2023-09-01,2023,Quarterly (AAF),per_band_exact,Non-Residential,0-300,GHp/kWh,126.9145,GHp/kWh,4.22,exact_gazette,"PURC, '2024 First Quarter Tariff Decision' (Sep 2023 appendix) https://www.purc.com.gh/attachment/977542-20240320080343.pdf",+4.22% (residential consumers using more than 30 kWh/month). Gazette No. ~ replaced by Gazette No. 116 (2 Jul 2024) at the next review.
2023-09-01,2023,Quarterly (AAF),per_band_exact,Non-Residential,301-600,GHp/kWh,135.0506,GHp/kWh,4.22,exact_gazette,"PURC, '2024 First Quarter Tariff Decision' (Sep 2023 appendix) https://www.purc.com.gh/attachment/977542-20240320080343.pdf",+4.22% (residential consumers using more than 30 kWh/month). Gazette No. ~ replaced by Gazette No. 116 (2 Jul 2024) at the next review.
2023-09-01,2023,Quarterly (AAF),per_band_exact,Non-Residential,600+,GHp/kWh,201.6051,GHp/kWh,4.22,exact_gazette,"PURC, '2024 First Quarter Tariff Decision' (Sep 2023 appendix) https://www.purc.com.gh/attachment/977542-20240320080343.pdf",+4.22% (residential consumers using more than 30 kWh/month). Gazette No. ~ replaced by Gazette No. 116 (2 Jul 2024) at the next review.
2023-09-01,2023,Quarterly (AAF),per_band_exact,Non-Residential,0-300,Service Charge,1242.8245,GHp/month,,exact_gazette,"PURC, '2024 First Quarter Tariff Decision' (Sep 2023 appendix) https://www.purc.com.gh/attachment/977542-20240320080343.pdf",+4.22% (residential consumers using more than 30 kWh/month). Gazette No. ~ replaced by Gazette No. 116 (2 Jul 2024) at the next review.
2023-09-01,2023,Quarterly (AAF),per_band_exact,Residential,51-300,GHp/kWh,140.5722,GHp/kWh,4.22,exact_gazette,"PURC, '2024 First Quarter Tariff Decision' (Sep 2023 appendix) https://www.purc.com.gh/attachment/977542-20240320080343.pdf",+4.22% (residential consumers using more than 30 kWh/month). Gazette No. ~ replaced by Gazette No. 116 (2 Jul 2024) at the next review.
2023-09-01,2023,Quarterly (AAF),per_band_exact,Residential,301-600,GHp/kWh,182.4354,GHp/kWh,4.22,exact_gazette,"PURC, '2024 First Quarter Tariff Decision' (Sep 2023 appendix) https://www.purc.com.gh/attachment/977542-20240320080343.pdf",+4.22% (residential consumers using more than 30 kWh/month). Gazette No. ~ replaced by Gazette No. 116 (2 Jul 2024) at the next review.
2023-09-01,2023,Quarterly (AAF),per_band_exact,Residential,600+,GHp/kWh,202.706,GHp/kWh,4.22,exact_gazette,"PURC, '2024 First Quarter Tariff Decision' (Sep 2023 appendix) https://www.purc.com.gh/attachment/977542-20240320080343.pdf",+4.22% (residential consumers using more than 30 kWh/month). Gazette No. ~ replaced by Gazette No. 116 (2 Jul 2024) at the next review.
2023-09-01,2023,Quarterly (AAF),per_band_exact,Residential,51-300,Service Charge,1073.0886,GHp/month,,exact_gazette,"PURC, '2024 First Quarter Tariff Decision' (Sep 2023 appendix) https://www.purc.com.gh/attachment/977542-20240320080343.pdf",+4.22% (residential consumers using more than 30 kWh/month). Gazette No. ~ replaced by Gazette No. 116 (2 Jul 2024) at the next review.
